HDR,Global,Mean,Sea,Level,Data
HDR,NA,NA,NA,NA,NA
HDR,Temporal,Coverage:,September,1992,-
HDR,NA,NA,NA,NA,NA
HDR,This,file,contains,Global,Mean
HDR,auspices,of,the,NASA,Sea
HDR,Climate,Research,(http://podaac.jpl.nasa.gov/dataset/MERGED_TP_J1_OSTM_OST_ALL_V51).,It,combines
HDR,"TOPEX/Poseidon,","Jason-1,","OSTM/Jason-2,","Jason-3,",and
HDR,geophysical,corrections,applied,and,placed
HDR,"time,",regardless,of,the,instrument
HDR,are,preliminary,as,validation,and
HDR,NA,NA,NA,NA,NA
HDR,The,data,can,be,found
HDR,column,12,below),with,the
HDR,and,semi-annual,signals,removed.,NA
HDR,NA,NA,NA,NA,NA
HDR,If,you,use,these,data
HDR,GSFC.,2021.,Global,Mean,Sea
HDR,NA,NA,NA,NA,NA
HDR,For,information,on,how,the
HDR,"Beckley,",B.,"D.,","Callahan,",P.
HDR,correction,to,TOPEX,satellite,altimetry
HDR,Journal,of,Geophysical,Research:,"Oceans,"
HDR,NA,NA,NA,NA,NA
HDR,"Beckley,","B.D.,",N.,P.,"Zelensky,"
HDR,of,the,Jason-2,Extension,to
HDR,"Monitoring,",Marine,"Geodesy,",Vol,"33,"
HDR,NA,NA,NA,NA,NA
HDR,====================,NA,NA,NA,NA
HDR,NA,NA,NA,NA,NA
HDR,Global,Mean,Sea,Level,(GMSL)
HDR,NA,NA,NA,NA,NA
HDR,column,description,NA,NA,NA
HDR,1,altimeter,type,0=dual-frequency,999=single
HDR,2,merged,file,cycle,#
HDR,3,year+fraction,of,year,(mid-cycle)
HDR,4,number,of,observations,NA
HDR,5,number,of,weighted,observations
HDR,6,GMSL,(Global,Isostatic,Adjustment
HDR,7,standard,deviation,of,GMSL
HDR,8,smoothed,(60-day,Gaussian,type
HDR,9,GMSL,(Global,Isostatic,Adjustment
HDR,10,standard,deviation,of,GMSL
HDR,11,smoothed,(60-day,Gaussian,type
HDR,12,smoothed,(60-day,Gaussian,type
HDR,13,smoothed,(60-day,Gaussian,type
HDR,NA,NA,NA,NA,NA
HDR,Missing,or,bad,value,flag:
HDR,NA,NA,NA,NA,NA
HDR,TOPEX/Jason,1996-2016,collinear,mean,reference
HDR,NA,NA,NA,NA,NA
HDR,Header_End---------------------------------------,NA,NA,NA,NA
0,11,1993.0115260,466881,338409.69,-37.91
0,12,1993.0386920,459563,333609.59,-40.95
0,13,1993.0658580,402996,292736.50,-41.09
0,14,1993.0930250,462894,336670.31,-43.38
0,15,1993.1201910,460498,332486.09,-38.66
0,16,1993.1473570,415229,300489.59,-35.75
0,17,1993.1745230,470588,340262.31,-34.13
0,18,1993.2016890,469308,339210.91,-34.79
0,19,1993.2288550,464654,335581.31,-35.91
999,20,1993.2560210,450755,327812.59,-38.21
0,21,1993.2831880,467062,337673.91,-38.16
0,22,1993.3103540,472295,341114.91,-33.80
0,23,1993.3375200,469212,340206.81,-35.02
0,24,1993.3646860,471421,340656.59,-37.97
0,25,1993.3918520,472424,340986.50,-38.80
0,26,1993.4190180,472277,341267.19,-38.31
0,27,1993.4461850,469214,339717.31,-35.89
0,28,1993.4733510,433670,315057.31,-32.30
0,29,1993.5005170,465358,340186.50,-32.44
0,30,1993.5276830,461887,337891.81,-32.35
999,31,1993.5548490,248043,185244.80,-34.62
0,32,1993.5820150,458887,337013.91,-34.19
0,33,1993.6091810,427662,313966.81,-32.40
0,34,1993.6363480,455037,335887.81,-28.58
0,35,1993.6635140,453806,335852.41,-26.10
0,36,1993.6906800,454905,336206.69,-27.21
0,37,1993.7178460,411039,304372.19,-29.89
0,38,1993.7450120,455210,336768.31,-27.09
0,39,1993.7721780,453675,335532.59,-24.43
0,40,1993.7993450,455839,335952.41,-26.68
